Title,Link,Summary,Published Date,Source,Location
"Debby left thousands in the dark, and threats of more flooding",https://www.npr.org/2024/08/11/nx-s1-5071222/debby-aftermath-power-outages-flooding,"The weather system previously known as Hurricane Debby was not quite done with parts of the U.S. Sunday as flood warnings remained in effect in North Carolina and thousands were without power in New York, Ohio and Pennsylvania.",2024-08-12T01:40:08Z,NPR,"Debby, U.S., North Carolina, New York, Ohio, Pennsylvania"
Jobhunters Flood Recruiters With AI-Generated CVs,https://tech.slashdot.org/story/24/08/13/142256/jobhunters-flood-recruiters-with-ai-generated-cvs,"About half of all job seekers are using AI tools to apply for roles, inundating employers and recruiters with low-quality applications in an already squeezed labour market. From a report: Candidates are turning increasingly to generative AI -- the type used i…",2024-08-13T14:02:00Z,Slashdot.org,
"When an earthquake struck in 1989, Julia locked eyes with a stranger and embraced",https://www.npr.org/2024/08/16/nx-s1-5078749/earthquake-kindness-stranger-help,Julia Weber was walking home from work one day in San Francisco when an earthquake struck. She rode it out in the arms of a stranger.,2024-08-19T09:00:00Z,NPR,"Julia, San Francisco"
Americans are so desperate for cheaper houses that they're willing to live in flood and wildfire zones,https://www.businessinsider.com/housing-insurance-costs-climate-change-floods-fires-texas-florida-2024-8,Cheaper housing and a lower cost of living has lured many Americans into regions of the country most at risk of extreme weather and natural disasters.,2024-08-17T09:37:02Z,Business Insider,
Magnitude 5.2 earthquake rattles Southern California,https://ktla.com/news/california/preliminary-5-3-magnitude-earthquake-rattles-southern-california/,"A magnitude 5.2 earthquake struck near Bakersfield Tuesday evening sending out shockwaves felt across Southern California. The quake, which struck at a depth...",2024-08-07T04:21:11Z,KTLA Los Angeles,Bakersfield
Morning earthquake rattles the Inland Empire,https://www.yahoo.com/news/morning-earthquake-rattles-inland-empire-133846678.html,Did you feel it?,2024-08-28T13:38:46Z,Yahoo Entertainment,
Earthquake rocks Los Angeles,https://abcnews.go.com/US/earthquake-rocks-los-angeles/story?id=112784649,A 4.4 magnitude earthquake rocked the Los Angeles region early Monday afternoon.,2024-08-12T19:35:41Z,ABC News,"Los Angeles, Los Angeles"
A Significant Earthquake Hits Los Angeles,https://time.com/7010282/earthquake-hits-los-angeles/,People reported feeling it strongly across the Los Angeles area.,2024-08-12T20:05:12Z,Time,"Los Angeles, Los Angeles"
"Washington, DC, is the best place in the US for pay and good jobs. See the other top states.",https://www.businessinsider.com/best-us-states-high-wages-salaries-worker-rights-california-2024-8,"A flood of workers have moved south in recent years, but many southern states offer lower wages and fewer worker protections.",2024-08-29T09:56:02Z,Business Insider,"Washington, DC, US"
A24’s Y2K looks like an apocalyptic rager in first trailer,https://www.theverge.com/2024/8/20/24223963/a24-y2k-trailer,Y2K — out December 6th — from co-writer / director Kyle Mooney pits millennials against machines in first trailer.,2024-08-20T13:08:02Z,The Verge,
