Title,Link,Keywords,Location
"BBC Home - Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio",https://www.bbc.com,"drought, rain",Not specified
"The New York Times - Breaking News, US News, World News and Videos",https://www.nytimes.com,flood,Not specified
